UIK.RAW	UIK	VOTERS	BALL.RECEIVED	BALL.ISS.PRELIMINARY	BALL.ISS.UIK.DAYOFVOTE	BALL.ISS.EXTRA	BALL.CANCELLED	BALL.PORTABLE_BOXES	BALL.STATIONARY_BOXES	BALL.INVALID	BALL.VALID	BALL.LOST	BALL.NOT.RECORDED	TIK	BABURIN	BABURIN.pct	GRUDININ	GRUDININ.pct	ZHIRINOVSKI	ZHIRINOVSKI.pct	PUTIN	PUTIN.pct	SOBCHAK	SOBCHAK.pct	SURAIKIN	SURAIKIN.pct	TITOV	TITOV.pct	YAVLINSKI	YAVLINSKI.pct
УИК №1	1	1603	1500	0	939	14	547	14	939	13	940	0	0	1	8	0.84%	77	8.08%	40	4.20%	688	72.19%	58	6.09%	8	0.84%	15	1.57%	46	4.83%
УИК №2	2	1403	1200	0	849	20	331	20	848	11	857	0	0	1	10	1.15%	86	9.91%	34	3.92%	616	70.97%	48	5.53%	8	0.92%	22	2.53%	33	3.80%
УИК №3	3	1882	2000	0	1172	32	796	32	1170	16	1186	0	0	1	12	0.99%	103	8.57%	52	4.33%	869	72.30%	67	5.57%	7	0.58%	20	1.66%	56	4.66%
УИК №4	4	944	800	0	577	7	216	7	576	6	577	0	0	1	8	1.37%	69	11.84%	34	5.83%	398	68.27%	32	5.49%	0	0.00%	9	1.54%	27	4.63%
УИК №5	5	1727	1800	0	1027	22	751	22	1023	18	1027	0	0	1	7	0.67%	109	10.43%	58	5.55%	733	70.14%	43	4.11%	7	0.67%	21	2.01%	49	4.69%
УИК №6	6	1414	1300	0	864	17	419	17	864	16	865	0	0	1	5	0.57%	88	9.99%	27	3.06%	629	71.40%	49	5.56%	4	0.45%	21	2.38%	42	4.77%
УИК №7	7	2318	2000	0	1328	28	644	28	1323	22	1329	0	0	1	22	1.63%	145	10.73%	75	5.55%	938	69.43%	69	5.11%	8	0.59%	28	2.07%	44	3.26%
УИК №8	8	1412	1500	0	894	21	585	21	892	10	903	0	0	1	8	0.88%	78	8.54%	22	2.41%	647	70.87%	79	8.65%	9	0.99%	22	2.41%	38	4.16%
УИК №9	9	1319	1500	0	828	17	655	17	825	13	829	0	0	1	14	1.66%	69	8.19%	27	3.21%	624	74.11%	33	3.92%	3	0.36%	13	1.54%	46	5.46%
УИК №10	10	1539	1500	0	888	30	582	30	884	21	893	0	0	1	6	0.66%	69	7.55%	36	3.94%	658	71.99%	57	6.24%	7	0.77%	23	2.52%	37	4.05%
УИК №11	11	2001	1500	0	1070	25	405	25	1067	20	1072	0	0	1	13	1.19%	111	10.16%	50	4.58%	731	66.94%	78	7.14%	5	0.46%	14	1.28%	70	6.41%
УИК №12	12	974	700	0	514	10	176	10	513	8	515	0	0	1	4	0.76%	44	8.41%	35	6.69%	373	71.32%	32	6.12%	5	0.96%	3	0.57%	19	3.63%
УИК №13	13	1772	2000	0	1024	22	954	22	1020	14	1028	0	0	1	12	1.15%	86	8.25%	38	3.65%	772	74.09%	51	4.89%	10	0.96%	13	1.25%	46	4.41%
УИК №14	14	1957	2000	0	1254	13	733	13	1254	26	1241	0	0	1	9	0.71%	115	9.08%	56	4.42%	904	71.35%	65	5.13%	7	0.55%	17	1.34%	68	5.37%
УИК №15	15	1835	1500	0	1000	251	248	251	1000	29	1222	1	0	1	8	0.64%	123	9.83%	54	4.32%	881	70.42%	76	6.08%	6	0.48%	24	1.92%	50	3.99%
УИК №16	16	1761	1500	0	1223	23	254	23	1220	38	1205	0	0	1	12	0.97%	131	10.54%	52	4.18%	813	65.41%	90	7.24%	11	0.88%	30	2.41%	66	5.31%
УИК №17	17	1654	1500	0	991	26	483	26	991	10	1007	0	0	1	13	1.28%	95	9.34%	58	5.70%	731	71.88%	37	3.64%	10	0.98%	20	1.97%	43	4.23%
УИК №18	18	1429	1500	0	758	26	716	26	755	5	776	0	0	1	11	1.41%	68	8.71%	27	3.46%	532	68.12%	63	8.07%	6	0.77%	21	2.69%	48	6.15%
УИК №19	19	1560	1500	0	1050	14	436	14	1045	17	1042	0	0	1	15	1.42%	76	7.18%	34	3.21%	766	72.33%	70	6.61%	2	0.19%	23	2.17%	56	5.29%
УИК №20	20	1456	1500	0	920	27	553	27	918	16	929	0	0	1	6	0.63%	86	9.10%	47	4.97%	630	66.67%	83	8.78%	8	0.85%	21	2.22%	48	5.08%
УИК №21	21	1662	1500	0	1074	26	400	26	1013	21	1018	0	0	1	10	0.96%	104	10.01%	38	3.66%	686	66.03%	80	7.70%	9	0.87%	19	1.83%	72	6.93%
УИК №22	22	1578	1500	0	954	43	503	43	954	21	976	0	0	1	9	0.90%	86	8.63%	45	4.51%	700	70.21%	53	5.32%	8	0.80%	24	2.41%	51	5.12%
